# index,name,course,cluster,sex,prosocial,crttotal,_pos
167,831,2,C,Male,1.0,2.000000001,"array([2.2158485, 4.8023237])"
168,761,1,C,Male,1.0,3.0,"array([2.20139988, 4.66064688])"
169,785,1,C,Male,1.0,0.999999999,"array([2.2043123 , 4.69598652])"
170,866,2,D,Female,1.0,3.0,"array([2.25655673, 4.79152665])"
171,843,2,A,Female,0.666666667,0.999999999,"array([2.27214128, 4.8014075 ])"
172,869,2,D,Female,0.666666667,0.999999999,"array([2.25507338, 4.78321006])"
173,885,2,D,Female,0.666666667,3.0,"array([2.2497672 , 4.77730216])"
174,833,2,A,Female,,,"array([2.30265574, 4.79063668])"
175,842,2,A,Female,0.0,0.999999999,"array([2.275253  , 4.79057714])"
176,875,2,A,Female,,,"array([2.296556  , 4.79663665])"
177,786,1,C,Male,,,"array([2.17884347, 4.6730174 ])"
178,798,1,C,Male,1.0,2.000000001,"array([2.16090791, 4.66043165])"
179,802,1,C,Female,1.0,3.0,"array([2.19361922, 4.71648443])"
180,807,1,C,Female,,,"array([2.20134086, 4.76712508])"
181,834,2,DPMAR,Female,,,"array([2.23432995, 4.76962623])"
182,844,2,C,Male,1.0,0.0,"array([2.25991277, 4.7620848 ])"
183,854,2,B,Female,1.0,0.0,"array([2.31167775, 4.76469243])"
184,861,2,B,Male,0.666666667,2.000000001,"array([2.32066648, 4.73140959])"
185,903,2,B,Male,,,"array([2.29910717, 4.72876791])"
186,837,2,A,Female,0.666666667,3.0,"array([2.2900718 , 4.78565354])"
187,841,2,A,Male,,,"array([2.29209813, 4.75701961])"
188,868,2,A,Female,0.666666667,2.000000001,"array([2.28471523, 4.7950193 ])"
189,883,2,A,Female,0.666666667,2.000000001,"array([2.26666882, 4.77301664])"
190,891,2,A,Male,0.666666667,2.000000001,"array([2.28185522, 4.75150716])"
191,892,2,A,Female,0.666666667,3.0,"array([2.26463038, 4.7957083 ])"
192,888,2,A,Male,0.666666667,0.999999999,"array([2.30757186, 4.78157712])"
193,890,2,A,Male,,,"array([2.31216683, 4.79571874])"
194,907,2,A,Female,0.333333333,3.0,"array([2.28358661, 4.81484656])"
195,921,2,A,Female,,,"array([2.3034416 , 4.83156299])"
196,880,2,A,Male,0.666666667,3.0,"array([2.27921448, 4.77428544])"
197,920,2,C,Female,1.0,2.000000001,"array([2.24620887, 4.80850572])"
198,845,2,D,Female,0.666666667,3.0,"array([2.26639088, 4.78671681])"
199,846,2,B,Male,1.0,0.999999999,"array([2.30813699, 4.73935156])"
200,911,2,B,Female,0.666666667,2.000000001,"array([2.29409435, 4.80786945])"
201,847,2,C,Male,1.0,3.0,"array([2.26566787, 4.81186643])"
202,855,2,C,Female,1.0,2.000000001,"array([2.24878678, 4.75253793])"
203,856,2,C,Female,1.0,0.999999999,"array([2.25383985, 4.81644639])"
204,870,2,B,Male,1.0,0.999999999,"array([2.32290612, 4.75198181])"
205,902,2,B,Female,0.666666667,0.999999999,"array([2.28735388, 4.77674424])"
206,918,2,B,Male,1.0,2.000000001,"array([2.31078022, 4.75135487])"
207,924,2,C,Female,0.666666667,2.000000001,"array([2.26275152, 4.82264881])"
208,929,2,C,Female,1.0,0.0,"array([2.24986575, 4.83382652])"
209,849,2,C,Female,1.0,3.0,"array([2.22851571, 4.8219092 ])"
210,908,2,D,Female,0.666666667,2.000000001,"array([2.20303117, 4.82371055])"
211,913,2,B,Female,1.0,2.000000001,"array([2.32065142, 4.76339566])"
212,836,2,C,Female,0.666666667,3.0,"array([2.2440726 , 4.82138651])"
213,840,2,C,Female,1.0,0.999999999,"array([2.2291911 , 4.83331388])"
214,858,2,C,Female,0.666666667,0.999999999,"array([2.23235545, 4.84339328])"
215,872,2,C,Female,0.666666667,3.0,"array([2.24304191, 4.84401343])"
216,897,2,C,Male,0.333333333,0.0,"array([2.23903542, 4.82871327])"
217,900,2,C,Male,0.666666667,3.0,"array([2.21518444, 4.83311641])"
218,914,2,C,Female,0.666666667,2.000000001,"array([2.26186532, 4.835247  ])"
219,894,2,DPMAR,Male,,,"array([2.20846306, 4.7913243 ])"
220,859,2,C,Male,,,"array([2.22643586, 4.86877644])"
221,912,2,B,Female,0.666666667,0.0,"array([2.30882867, 4.817825  ])"
222,906,2,B,Female,1.0,2.000000001,"array([2.32315282, 4.81208564])"
223,839,2,DPMAR,Male,,,"array([2.22172352, 4.78527657])"
224,879,2,DPMAR,Male,,,"array([2.21653456, 4.8118258 ])"
225,889,2,B,Female,0.666666667,2.000000001,"array([2.32012252, 4.7760686 ])"
226,905,2,B,Female,0.666666667,0.0,"array([2.34097172, 4.76132623])"
227,832,2,B,Female,1.0,2.000000001,"array([2.34632973, 4.79843848])"
228,864,2,B,Female,0.666666667,0.999999999,"array([2.33473381, 4.78064026])"
229,877,2,B,Male,0.666666667,0.0,"array([2.34059872, 4.73720075])"
230,898,2,B,Female,1.0,2.000000001,"array([2.34497691, 4.77261376])"
231,916,2,B,Male,1.0,0.999999999,"array([2.33725877, 4.74994652])"
232,838,2,DPMAR,Male,,,"array([2.17650754, 4.84371932])"
233,860,2,DPMAR,Male,1.0,3.0,"array([2.19285137, 4.79272552])"
234,878,2,DPMAR,Female,,,"array([2.19833808, 4.84017608])"
235,927,2,DPMAR,Male,1.0,2.000000001,"array([2.18575545, 4.81003425])"
236,923,2,B,Male,,,"array([2.25968512, 4.88177206])"
237,910,2,D,Male,,,"array([2.27279085, 4.84958512])"
